ciudad,departamento,ciudad_norm,depto_norm,status,geo_city_shapeName,geo_dept_name,geo_shapeID
Bogota D.C.,Cundinamarca,bogota,bogota,city_match_no_dept_1_picked_first,"Bogotá, D.c.",Bogota Capital District,7082276B37057214617227
Soledad,Atlantico,soledad,atlantico,ok,Soledad,Atlántico,7082276B16795204487945
Cali,Valle Del Cauca,cali,valle del cauca,ok,Cali,Valle del Cauca,7082276B61798378462298
Sabaneta,Antioquia,sabaneta,antioquia,ok,Sabaneta,Antioquia,7082276B45005796223132
Ibague,Tolima,ibague,tolima,ok,Ibagué,Tolima,7082276B61216577882817
Guadalajara De Buga,Valle Del Cauca,guadalajara de buga,valle del cauca,no_city_found,,,
Cartagena,Bolivar,cartagena,bolivar,ok,Cartagena De Indias,Bolívar,7082276B69747109400917
Medellin,Antioquia,medellin,antioquia,ok,Medellín,Antioquia,7082276B76690106408580
San Andres De Tumaco,Narino,san andres de tumaco,narino,no_city_found,,,
Sogamoso,Boyaca,sogamoso,boyaca,ok,Sogamoso,Boyacá,7082276B30941570566225
Duitama,Boyaca,duitama,boyaca,ok,Duitama,Boyacá,7082276B48386151421369
Bucaramanga,Santander,bucaramanga,santander,ok,Bucaramanga,Santander,7082276B15400349523065
Tulua,Valle Del Cauca,tulua,valle del cauca,ok,Tuluá,Valle del Cauca,7082276B54316712133185
Piedecuesta,Santander,piedecuesta,santander,ok,Piedecuesta,Santander,7082276B40020724861964
Yumbo,Valle Del Cauca,yumbo,valle del cauca,ok,Yumbo,Valle del Cauca,7082276B37421860048311
Marinilla,Antioquia,marinilla,antioquia,ok,Marinilla,Antioquia,7082276B39269491534376
Barrancabermeja,Santander,barrancabermeja,santander,ok,Barrancabermeja,Santander,7082276B38592891469597
Espinal,Tolima,espinal,tolima,ok,Espinal,Tolima,7082276B91766477501685
Candelaria,Valle Del Cauca,candelaria,valle del cauca,ok,Candelaria,Valle del Cauca,7082276B28574289150765
Floridablanca,Santander,floridablanca,santander,ok,Floridablanca,Santander,7082276B34435529925249
Jamundi,Valle Del Cauca,jamundi,valle del cauca,ok,Jamundí,Valle del Cauca,7082276B34643153596427
Tunja,Boyaca,tunja,boyaca,ok,Tunja,Boyacá,7082276B30096704247804
Buenaventura,Valle Del Cauca,buenaventura,valle del cauca,ok,Buenaventura,Valle del Cauca,7082276B82326475607220
Envigado,Antioquia,envigado,antioquia,ok,Envigado,Antioquia,7082276B11340902680280
Palmira,Valle Del Cauca,palmira,valle del cauca,ok,Palmira,Valle del Cauca,7082276B49686436836196
Itagui,Antioquia,itagui,antioquia,ok,Itagüí,Antioquia,7082276B40156907925674
Monteria,Cordoba,monteria,cordoba,ok,Montería,Córdoba,7082276B30491480162439
Dosquebradas,Risaralda,dosquebradas,risaralda,ok,Dosquebradas,Risaralda,7082276B1259376417396
Caldas,Antioquia,caldas,antioquia,ok,Caldas,Antioquia,7082276B42449949359128
Rionegro,Antioquia,rionegro,antioquia,ok,Rionegro,Antioquia,7082276B44493492234121
Funza,Cundinamarca,funza,cundinamarca,ok,Funza,Cundinamarca,7082276B8627668413751
Zarzal,Valle Del Cauca,zarzal,valle del cauca,ok,Zarzal,Valle del Cauca,7082276B55716898367144
Florencia,Caqueta,florencia,caqueta,ok,Florencia,Caquetá,7082276B38105968828187
Yopal,Casanare,yopal,casanare,ok,Yopal,Casanare,7082276B99207474078135
Mosquera,Cundinamarca,mosquera,cundinamarca,ok,Mosquera,Cundinamarca,7082276B63365049346428
Garzon,Huila,garzon,huila,ok,Garzón,Huila,7082276B84511387855625
Pereira,Risaralda,pereira,risaralda,ok,Pereira,Risaralda,7082276B56557214099866
Barbosa,Antioquia,barbosa,antioquia,ok,Barbosa,Antioquia,7082276B32709171288134
Manizales,Caldas,manizales,caldas,ok,Manizales,Caldas,7082276B74376648695935
Pitalito,Huila,pitalito,huila,ok,Pitalito,Huila,7082276B60713931967074
Barranquilla,Atlantico,barranquilla,atlantico,no_city_found,,,
Armenia,Quindio,armenia,quindio,ok,Armenia,Quindío,7082276B37596185991621
Aguachica,Cesar,aguachica,cesar,ok,Aguachica,Cesar,7082276B33891550919089
San Agustin,Huila,san agustin,huila,ok,San Agustín,Huila,7082276B97741553625130
El Cerrito,Valle Del Cauca,el cerrito,valle del cauca,ok,El Cerrito,Valle del Cauca,7082276B46612550724020
San Gil,Santander,san gil,santander,ok,San Gil,Santander,7082276B87231818219004
Neiva,Huila,neiva,huila,ok,Neiva,Huila,7082276B10918286355
