ciudad,departamento,ciudad_norm,depto_norm,status,geo_shapeName,geo_shapeID
Abejorral,Antioquia,abejorral,antioquia,unique_match_by_city,Abejorral,7082276B70847845969134
Apartado,Antioquia,apartado,antioquia,unique_match_by_city,Apartadó,7082276B99397100908240
Armenia,Antioquia,armenia,antioquia,ambiguous_2,,
Barbosa,Antioquia,barbosa,antioquia,ambiguous_2,,
Bello,Antioquia,bello,antioquia,unique_match_by_city,Bello,7082276B79272217078231
Caldas,Antioquia,caldas,antioquia,ambiguous_2,,
Canasgordas,Antioquia,canasgordas,antioquia,unique_match_by_city,Cañasgordas,7082276B88320735192302
Carepa,Antioquia,carepa,antioquia,unique_match_by_city,Carepa,7082276B33450375559430
Caucasia,Antioquia,caucasia,antioquia,unique_match_by_city,Caucasia,7082276B49158804939428
Cocorna,Antioquia,cocorna,antioquia,unique_match_by_city,Cocorná,7082276B66928007387737
Copacabana,Antioquia,copacabana,antioquia,unique_match_by_city,Copacabana,7082276B76500841891057
El Carmen De Viboral,Antioquia,el carmen de viboral,antioquia,unique_match_by_city,El Carmen De Viboral,7082276B81226439433985
El Santuario,Antioquia,el santuario,antioquia,no_match,,
Envigado,Antioquia,envigado,antioquia,unique_match_by_city,Envigado,7082276B11340902680280
Fredonia,Antioquia,fredonia,antioquia,unique_match_by_city,Fredonia,7082276B62659196933194
Girardota,Antioquia,girardota,antioquia,unique_match_by_city,Girardota,7082276B6763900439395
Granada,Antioquia,granada,antioquia,ambiguous_3,,
Guarne,Antioquia,guarne,antioquia,unique_match_by_city,Guarne,7082276B92581613564352
Itagui,Antioquia,itagui,antioquia,unique_match_by_city,Itagüí,7082276B40156907925674
La Ceja,Antioquia,la ceja,antioquia,unique_match_by_city,La Ceja,7082276B13386245967874
La Estrella,Antioquia,la estrella,antioquia,unique_match_by_city,La Estrella,7082276B46086591209782
Marinilla,Antioquia,marinilla,antioquia,unique_match_by_city,Marinilla,7082276B39269491534376
Medellin,Antioquia,medellin,antioquia,unique_match_by_city,Medellín,7082276B76690106408580
Mutata,Antioquia,mutata,antioquia,unique_match_by_city,Mutatá,7082276B10402397965480
Penol,Antioquia,penol,antioquia,unique_match_by_city,Peñol,7082276B19280887364863
Rionegro,Antioquia,rionegro,antioquia,ambiguous_2,,
Sabaneta,Antioquia,sabaneta,antioquia,unique_match_by_city,Sabaneta,7082276B45005796223132
San Pedro De Uraba,Antioquia,san pedro de uraba,antioquia,unique_match_by_city,San Pedro De Uraba,7082276B58704209579915
Segovia,Antioquia,segovia,antioquia,unique_match_by_city,Segovia,7082276B19668764793541
Tamesis,Antioquia,tamesis,antioquia,unique_match_by_city,Támesis,7082276B51026070835233
Yarumal,Antioquia,yarumal,antioquia,unique_match_by_city,Yarumal,7082276B85908118350563
Yondo,Antioquia,yondo,antioquia,no_match,,
Baranoa,Atlantico,baranoa,atlantico,unique_match_by_city,Baranoa,7082276B40558284352114
