ciudad,departamento,cantidad,total,precio
bogota d.c.,cundinamarca,31882.216,4036627026.6666665,6703.998361260191
guadalajara de buga,valle del cauca,4602.442,1760883401.0,8329.473039215687
cali,valle del cauca,13481.119,1429245877.6666667,6372.129655911944
medellin,antioquia,10472.077,1009220439.3333334,5641.678244211227
barranquilla,atlantico,3913.617,537849562.0,6315.490170380079
bello,antioquia,2067.78,325465023.0,5881.3765743073045
bucaramanga,santander,2863.424,307483540.3333333,6015.339050131926
soacha,cundinamarca,2307.86,294944210.0,6444.539691497367
pereira,risaralda,2032.283,244707127.66666666,6826.859504132231
dosquebradas,risaralda,1352.091,243633333.0,7297.06958073149
soledad,atlantico,1563.318,240711124.0,7383.588454376164
itagui,antioquia,2261.294,180488195.0,5922.1335616438355
floridablanca,santander,1490.685,163801098.0,6794.772739994402
tulua,valle del cauca,1674.063,163343761.66666666,11425.472185135735
mosquera,cundinamarca,1501.603,152902052.33333334,5543.846964064436
palmira,valle del cauca,1134.004,148105082.0,7416.757642725599
envigado,antioquia,706.957,143633690.66666666,7183.908684546616
malambo,atlantico,1960.951,120618993.0,6600.165187713311
madrid,cundinamarca,1057.804,88884032.0,5915.955497382199
chia,cundinamarca,375.59,87206354.0,8929.93031358885
zipaquira,cundinamarca,649.728,79740991.0,6883.456310679611
rionegro,antioquia,506.0,69645952.66666667,6051.7206266318535
girardot,cundinamarca,462.351,68469096.33333333,7563.183333333333
apartado,antioquia,110.53,67210545.0,7183.908045977011
jamundi,valle del cauca,769.852,66096530.0,6137.464712269273
piedecuesta,santander,459.816,63415446.666666664,6435.415499533147
yondo,antioquia,404.261,62359250.0,6649.536231884058
florida,valle del cauca,553.0,59612980.0,5196.7555555555555
candelaria,valle del cauca,524.42,56474934.666666664,7003.706761006289
belen de umbria,risaralda,227.208,54124154.0,6777.193877551021
tocancipa,cundinamarca,268.69,53196706.0,7516.291079812207
santa rosa de cabal,risaralda,216.50900000000001,49867539.0,7767.784090909091
fusagasuga,cundinamarca,305.904,48290351.0,8159.290495314592
segovia,antioquia,112.0,46656220.0,6481.038961038961
